vin,amp,dt
0.685,0.6099401,0.09603938426873604
0.686,0.6098623,0.09994563426873604
0.687,0.6097845,0.10092219676873604
0.6880000000000001,0.6097069,0.11361750926873604
0.6890000000000001,0.6096293,0.11361750926873604
0.6900000000000001,0.6095517,0.11459407176873604
0.6910000000000001,0.6094742,0.11557063426873604
0.6920000000000001,0.6093968,0.11654719676873604
0.6930000000000001,0.6093194,0.11752375926873604
0.6940000000000001,0.609242,0.07846125926873604
0.6950000000000001,0.6091647,0.09506282176873604
0.6960000000000001,0.6090875,0.09506282176873604
0.6970000000000001,0.6090102,0.09994563426873604
0.6980000000000001,0.608933,0.10092219676873604
0.6990000000000001,0.608856,0.10092219676873604
0.7000000000000001,0.6087789,0.11557063426873604
0.7010000000000001,0.6087018,0.11654719676873604
0.7020000000000001,0.6086249,0.07748469676873604
0.7030000000000001,0.6085479,0.07748469676873604
0.704,0.608471,0.07748469676873604
0.705,0.6083942,0.07748469676873604
0.706,0.6083174,0.07748469676873604
0.707,0.6082407,0.07748469676873604
0.708,0.608164,0.07846125926873604
0.709,0.6080874,0.07846125926873604
0.71,0.6080108,0.07846125926873604
0.711,0.6079342,0.07846125926873604
0.712,0.6078578,0.07846125926873604
0.713,0.6077813,0.07846125926873604
0.714,0.6077049,0.07846125926873604
0.715,0.6076286,0.07846125926873604
0.716,0.6075523,0.07650813426873604
0.717,0.607476,0.07650813426873604
0.718,0.6073998,0.07650813426873604
0.719,0.6073236,0.07748469676873604
0.72,0.6072475,0.07748469676873604
0.721,0.6071714,0.07748469676873604
0.722,0.6070954,0.07748469676873604
0.723,0.6070194,0.07748469676873604
0.724,0.6069434,0.07748469676873604
0.725,0.6068676,0.07748469676873604
0.726,0.6067917,0.07748469676873604
0.727,0.6067159,0.07748469676873604
0.728,0.6066402,0.07846125926873604
0.729,0.6065644,0.07846125926873604
0.73,0.6064888,0.07846125926873604
0.731,0.6064131,0.07846125926873604
0.732,0.6063376,0.07846125926873604
0.733,0.606262,0.07846125926873604
0.734,0.6061866,0.08432063426873604
0.735,0.6061111,0.08432063426873604
0.736,0.6060357,0.08432063426873604
0.737,0.6059604,0.07650813426873604
0.738,0.605885,0.07650813426873604
0.739,0.6058098,0.07650813426873604
0.74,0.6057346,0.07748469676873604
